rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
123,東京都,13,豊島区,100.0,123.0,71.0,194.0,1.0,2011,2019,4,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.1134020618556701,0.0,0.8865979381443299,0.0
124,大阪府,27,摂津市,99.8,52.0,139.0,191.0,1.0,2012,2013,2,False,,False,,,0.0,0.0,1.0,0.0
125,埼玉県,11,三郷市,92.5,85.0,104.0,189.0,1.0,2010,2015,4,False,,False,,,0.9788359788359788,0.0,0.021164021164021163,0.0
126,東京都,13,青梅市,79.1,96.0,92.0,188.0,1.0,2016,2019,2,False,,True,DEM 0.25m・0.5m（点群 LAS）,,1.0,0.0,0.0,0.0
127,広島県,34,大竹市,83.1,33.0,154.0,187.0,1.0,2014,2023,5,False,,False,,,0.9893048128342246,0.0053475935828877,0.0053475935828877,0.0
128,東京都,13,品川区,100.0,96.0,90.0,186.0,1.0,2010,2023,8,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.15053763440860216,0.2903225806451613,0.5591397849462365,0.0
129,大阪府,27,泉佐野市,82.7,37.0,147.0,184.0,1.0,2014,2014,1,False,,False,,,1.0,0.0,0.0,0.0
130,大阪府,27,豊中市,100.0,9.0,174.0,183.0,1.0,2012,2014,3,False,,False,,,0.0546448087431694,0.0,0.9453551912568307,0.0
131,大阪府,27,吹田市,100.0,15.0,165.0,180.0,1.0,2010,2020,8,False,,False,,,0.13333333333333333,0.0,0.8666666666666667,0.0
132,東京都,13,江戸川区,100.0,72.0,107.0,179.0,1.0,2010,2016,5,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.45251396648044695,0.0,0.547486033519553,0.0
133,福岡県,40,大牟田市,82.5,70.0,108.0,178.0,0.06790123456790123,2018,2023,6,True,17.5,False,,,0.09550561797752809,0.8595505617977528,0.0449438202247191,0.0
134,静岡県,22,沼津市,85.7,93.0,83.0,176.0,0.3736196319018405,2010,2023,9,False,,True,DEM 0.5m（点群 LAS）,,0.6988636363636364,0.20454545454545456,0.09659090909090909,0.0
135,愛知県,23,岡崎市,77.9,48.0,127.0,175.0,0.7499999999999999,2011,2023,6,False,,False,,,0.92,0.005714285714285714,0.07428571428571429,0.0
136,岩手県,3,盛岡市,81.3,2.0,166.0,168.0,0.1042634022794428,2010,2022,5,False,,False,,,0.0,0.0,1.0,0.0
137,兵庫県,28,伊丹市,99.9,53.0,110.0,163.0,1.0,2010,2014,4,False,,True,DEM・DSM 1m,,0.0,0.006134969325153374,0.9938650306748467,0.0
138,東京都,13,杉並区,100.0,115.0,48.0,163.0,1.0,2010,2023,11,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.05521472392638037,0.06134969325153374,0.8834355828220859,0.0
139,愛知県,23,清須市,86.3,5.0,156.0,161.0,1.0,2012,2016,3,False,,False,,,0.006211180124223602,0.0,0.9937888198757764,0.0
